cnpjcpf,serie,fabricante,descri,familia,isolante,tipo,tipo_sigla,potencia,potencia_a,potencia_b,potencia_un,impedancia,impedancia_a,impedancia_b,tensao,tensao_a,tensao_b,tensao_un,corrente,corrente_a,corrente_b,fases,lote,ano,volume,drenos,regional,subestacao,subestacao_sigla,status,energ,tag,local
33050196000188,A97069,TOSHIBA,SE BACABAL - 02T1,,Óleo Mineral,Transformador de Potencia,TPA,7.5000,7.5000,10.0000,MVA,11.0500,11.0500,0.0000,69.0000,69.0000,13.8000,KV,0.0000,0.0000,0.0000,3,,1998,3950,,Campinas,Unileste,UNE,1,1992-11-22,RT 000001,
33050196000188,33160,ITEL,CIA 2,IT0204,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.4800,0.4800,0.3600,12.0000,12.0000,13.8000,KV,1203.0000,1203.0000,1171.0000,3,,79,7300,,Campinas,Morro Azul,MAZ,1,1982-04-01,RT 000002,
33050196000188,SP7845,BROWN BOVERI,CIA 3,BB0104  N,Óleo Mineral,Regulador,REG,1.0000,1.0000,1.0000,MVA,0.6400,0.6400,0.3900,11.9000,11.9000,13.8000,KV,483.0000,483.0000,413.0000,3,,77,3500,,Araraquara,Ibate,IBT,1,1995-09-29,RT 000003,
33050196000188,149364,CEMEC,SE MIRINZAL - 02T1,,Óleo Mineral,Transformador de Potencia,TPA,7.5000,7.5000,10.0000,MVA,9.1200,9.1200,0.0000,69.0000,69.0000,13.8000,KV,0.0000,0.0000,0.0000,3,,1996,3500,,S.J.R.Preto,Ipora,IPO,1,1981-05-11,RT 000004,
33050196000188,31980,ITEL,CIA 5,IT0204,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.4600,0.4600,0.3500,12.0000,12.0000,13.8000,KV,1203.0000,1203.0000,1171.0000,3,,79,7300,,Bauru,Itambe,ITB,1,1982-06-11,RT 000005,SE: ITB - PMO: MARILHA
33050196000188,31979,ITEL,CIA 6,IT0204,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.4600,0.4600,0.3500,12.0000,12.0000,13.8000,KV,1203.0000,1203.0000,1171.0000,3,,79,7300,,S.J.R.Preto,Primavera,PVE,1,1980-01-11,RT 000006,SE: ZTC - PMO: CAMPINAS
33050196000188,31978,ITEL,CIA 7,IT0204,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.4700,0.4700,0.3500,12.0000,12.0000,13.8000,KV,1203.0000,1203.0000,1171.0000,3,,79,7300,,Campinas,Cidade Jardim,CDJ,1,1994-11-20,RT 000007,
33050196000188,33161,ITEL,CIA 8,IT0204,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.4500,0.4500,0.3400,12.0000,12.0000,13.8000,KV,1203.0000,1203.0000,1171.0000,3,,79,7300,,Bauru,Antonina,ANT,1,1980-04-11,RT 000008,
33050196000188,33163,ITEL,CIA 9,IT0204,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.0000,0.0000,0.0000,12.0000,12.0000,13.8000,KV,1203.0000,1203.0000,1171.0000,3,,79,7300,,Ribeirao Preto,Batatais,BAT,1,1981-11-11,RT 000009,
33050196000188,33164,COMEL,CABINE SECUNDÁRIA 01,,Óleo Mineral,Transformador de Potencia,TPA,0.3000,0.3000,2.8000,MVA,0.0000,0.0000,0.0000,13.8000,13.8000,0.2200,KV,0.0000,0.0000,0.0000,3,,0,240,,Araraquara,Americo Brasiliense,ABR,1,1981-06-11,RT 000010,
